Time [s],X_pos_series_1,X_pos_series_2,Y_pos_series_1,Y_pos_series_2,Z_pos_series_1,Z_pos_series_2,Roll_Pitch_series_1,Roll_Pitch_series_2,Velocities_series_1,Velocities_series_2,Velocities_series_3
0.0000,0.3190,0.0222,-1.0171,-0.2462,1.0000,1.0102,1.5209,-3.8411,0.3597,-1.0000,-0.0505
0.0160,0.3190,0.0298,-1.0171,-0.2614,1.0000,1.0103,1.4806,-3.8845,0.3504,-1.0000,-0.0511
0.0320,0.3190,0.0372,-1.0171,-0.2767,1.0000,1.0104,1.4456,-3.5830,0.3414,-1.0000,-0.0517
0.0480,0.3190,0.0444,-1.0171,-0.2919,1.0000,1.0104,1.4157,-3.6894,0.3324,-1.0000,-0.0521
0.0640,0.3190,0.0514,-1.0171,-0.3072,1.0000,1.0104,0.9734,-3.4903,0.3236,-0.9739,-0.0522
0.0800,0.3190,0.0583,-1.0171,-0.3224,1.0000,1.0102,0.4269,-3.4714,0.3151,-0.9431,-0.0519
0.0970,0.3190,0.0654,-1.0171,-0.3386,1.0000,1.0100,0.1399,-3.1941,0.3193,-0.9409,-0.0512
0.1130,0.3190,0.0719,-1.0171,-0.3538,1.0000,1.0098,-1.1211,-3.3984,0.2848,-0.8517,-0.0502
0.1290,0.3190,0.0783,-1.0171,-0.3688,1.0000,1.0097,-1.9660,-3.3336,0.2901,-0.8526,-0.0491
0.1460,0.3190,0.0849,-1.0171,-0.3847,1.0000,1.0098,-2.1450,-3.0074,0.2946,-0.8533,-0.0487
0.1630,0.3190,0.0912,-1.0171,-0.4004,1.0000,1.0100,-2.8979,-3.0223,0.2754,-0.7982,-0.0492
0.1790,0.3190,0.0971,-1.0171,-0.4150,1.0000,1.0101,-3.8573,-3.0888,0.2561,-0.7428,-0.0499
0.1950,0.3190,0.1028,-1.0171,-0.4294,1.0000,1.0102,-3.9672,-2.9405,0.2609,-0.7480,-0.0504
0.2110,0.3190,0.1083,-1.0171,-0.4435,1.0000,1.0103,-4.4678,-2.8994,0.2543,-0.7258,-0.0510
0.2280,0.3190,0.1141,-1.0171,-0.4583,1.0000,1.0105,-4.0945,-2.5568,0.2581,-0.7306,-0.0516
0.2440,0.3190,0.1193,-1.0171,-0.4720,1.0000,1.0107,-5.0575,-2.8073,0.2305,-0.6555,-0.0524
0.2600,0.3190,0.1245,-1.0171,-0.4854,1.0000,1.0110,-5.2064,-2.7186,0.2348,-0.6628,-0.0533
0.2760,0.3190,0.1294,-1.0171,-0.4985,1.0000,1.0115,-4.9902,-2.4924,0.2291,-0.6446,-0.0550
0.2920,0.3190,0.1343,-1.0171,-0.5114,1.0000,1.0121,-5.1202,-2.4705,0.2237,-0.6274,-0.0576
0.3090,0.3190,0.1393,-1.0171,-0.5247,1.0000,1.0127,-4.8380,-2.2488,0.2269,-0.6337,-0.0606
0.3260,0.3190,0.1442,-1.0171,-0.5378,1.0000,1.0132,-5.0939,-2.2652,0.2119,-0.5918,-0.0635
0.3420,0.3190,0.1487,-1.0171,-0.5499,1.0000,1.0135,-5.4991,-2.3659,0.1968,-0.5497,-0.0658
0.3590,0.3190,0.1533,-1.0171,-0.5624,1.0000,1.0137,-4.9154,-2.0995,0.2086,-0.5799,-0.0673
0.3760,0.3190,0.1579,-1.0171,-0.5746,1.0000,1.0139,-5.2910,-2.1818,0.1946,-0.5413,-0.0684
0.3920,0.3190,0.1620,-1.0171,-0.5858,1.0000,1.0142,-5.4132,-2.1937,0.1809,-0.5030,-0.0695
0.4080,0.3190,0.1660,-1.0171,-0.5968,1.0000,1.0144,-5.2839,-2.1329,0.1844,-0.5117,-0.0709
0.4240,0.3190,0.1700,-1.0171,-0.6075,1.0000,1.0145,-5.2189,-2.0459,0.1797,-0.4982,-0.0719
0.4410,0.3190,0.1741,-1.0171,-0.6186,1.0000,1.0145,-4.7016,-1.8599,0.1823,-0.5045,-0.0725
0.4570,0.3190,0.1778,-1.0171,-0.6288,1.0000,1.0144,-5.2544,-2.0197,0.1625,-0.4503,-0.0724
0.4730,0.3190,0.1814,-1.0171,-0.6387,1.0000,1.0144,-4.8433,-1.8963,0.1655,-0.4580,-0.0720
0.4890,0.3190,0.1850,-1.0171,-0.6484,1.0000,1.0144,-4.9721,-1.8975,0.1614,-0.4463,-0.0718
0.5060,0.3190,0.1886,-1.0171,-0.6584,1.0000,1.0144,-4.3363,-1.6319,0.1639,-0.4527,-0.0719
0.5220,0.3190,0.1920,-1.0171,-0.6676,1.0000,1.0145,-4.9021,-1.8798,0.1463,-0.4044,-0.0722
0.5390,0.3190,0.1955,-1.0171,-0.6771,1.0000,1.0146,-4.1879,-1.5839,0.1553,-0.4286,-0.0724
0.5560,0.3190,0.1988,-1.0171,-0.6863,1.0000,1.0150,-4.3790,-1.6449,0.1452,-0.4007,-0.0732
0.5720,0.3190,0.2019,-1.0171,-0.6948,1.0000,1.0153,-4.3604,-1.6036,0.1351,-0.3729,-0.0749
0.5880,0.3190,0.2049,-1.0171,-0.7031,1.0000,1.0157,-4.2282,-1.6130,0.1378,-0.3801,-0.0767
0.6040,0.3190,0.2078,-1.0171,-0.7111,1.0000,1.0159,-4.1092,-1.4828,0.1343,-0.3703,-0.0784
0.6210,0.3190,0.2109,-1.0171,-0.7194,1.0000,1.0160,-3.6906,-1.3810,0.1362,-0.3753,-0.0794
0.6370,0.3190,0.2137,-1.0171,-0.7271,1.0000,1.0159,-4.1026,-1.4882,0.1215,-0.3348,-0.0798
0.6530,0.3190,0.2164,-1.0171,-0.7346,1.0000,1.0159,-3.7136,-1.3680,0.1237,-0.3408,-0.0796
0.6690,0.3190,0.2190,-1.0171,-0.7418,1.0000,1.0157,-3.8512,-1.4250,0.1205,-0.3320,-0.0793
0.6860,0.3190,0.2218,-1.0171,-0.7493,1.0000,1.0155,-3.3732,-1.2141,0.1222,-0.3367,-0.0787
0.7020,0.3190,0.2243,-1.0171,-0.7563,1.0000,1.0153,-3.7740,-1.4027,0.1090,-0.3003,-0.0777
0.7190,0.3190,0.2269,-1.0171,-0.7634,1.0000,1.0149,-3.2006,-1.1583,0.1156,-0.3185,-0.0763
0.7360,0.3190,0.2294,-1.0171,-0.7704,1.0000,1.0145,-3.4534,-1.2758,0.1079,-0.2973,-0.0744
0.7520,0.3190,0.2317,-1.0171,-0.7767,1.0000,1.0141,-3.4345,-1.2433,0.1002,-0.2760,-0.0724
0.7690,0.3190,0.2341,-1.0171,-0.7833,1.0000,1.0136,-3.0419,-1.1282,0.1065,-0.2932,-0.0703
0.7860,0.3190,0.2364,-1.0171,-0.7897,1.0000,1.0132,-3.2369,-1.1743,0.0994,-0.2737,-0.0681
0.8030,0.3190,0.2387,-1.0171,-0.7960,1.0000,1.0128,-2.9512,-1.0643,0.0967,-0.2662,-0.0659
0.8190,0.3190,0.2408,-1.0171,-0.8017,1.0000,1.0123,-3.2019,-1.1828,0.0899,-0.2475,-0.0638
0.8360,0.3190,0.2429,-1.0171,-0.8076,1.0000,1.0118,-2.7381,-0.9819,0.0955,-0.2628,-0.0617
0.8520,0.3190,0.2449,-1.0171,-0.8130,1.0000,1.0113,-3.0377,-1.1124,0.0852,-0.2346,-0.0592
0.8680,0.3190,0.2468,-1.0171,-0.8183,1.0000,1.0108,-2.7153,-0.9850,0.0868,-0.2391,-0.0567
0.8840,0.3190,0.2487,-1.0171,-0.8234,1.0000,1.0102,-2.7570,-1.0000,0.0846,-0.2331,-0.0539
0.9010,0.3190,0.2506,-1.0171,-0.8287,1.0000,1.0095,-2.4567,-0.8963,0.0859,-0.2365,-0.0510
0.9170,0.3190,0.2524,-1.0171,-0.8336,1.0000,1.0089,-2.6622,-0.9637,0.0766,-0.2110,-0.0477
0.9330,0.3190,0.2541,-1.0171,-0.8383,1.0000,1.0083,-2.4390,-0.8878,0.0781,-0.2151,-0.0446
0.9490,0.3190,0.2557,-1.0171,-0.8429,1.0000,1.0076,-2.4608,-0.8930,0.0761,-0.2096,-0.0414
0.9660,0.3190,0.2575,-1.0171,-0.8477,1.0000,1.0069,-2.1897,-0.7948,0.0773,-0.2128,-0.0381
0.9820,0.3190,0.2591,-1.0171,-0.8520,1.0000,1.0063,-2.3946,-0.8706,0.0690,-0.1899,-0.0346
0.9980,0.3190,0.2606,-1.0171,-0.8563,1.0000,1.0056,-2.1758,-0.7896,0.0703,-0.1935,-0.0314
1.0140,0.3190,0.2621,-1.0171,-0.8604,1.0000,1.0050,-2.2082,-0.8027,0.0685,-0.1886,-0.0282
